scenario,trial,threshold,share_count,available_count,corrupted_count,expected_result,recovery_succeeded,key_matches,decryption_succeeded,failure_reason,share_generation_ms,recovery_ms,corrected_error_count,storage_overhead_ratio
Correct one corrupted share,11,4,7,6,1,Success,True,True,True,,0.016399993910454214,0.20349999249447137,1,21.0
Correct one corrupted share,12,4,7,6,1,Success,True,True,True,,0.016699996194802225,0.2027000009547919,1,21.0
Correct one corrupted share,13,4,7,6,1,Success,True,True,True,,0.016299993149004877,0.20300000323913991,1,21.0
Correct one corrupted share,14,4,7,6,1,Success,True,True,True,,0.016699996194802225,0.20029999723192304,1,21.0
Correct one corrupted share,15,4,7,6,1,Success,True,True,True,,0.024599998141638935,0.20950000907760113,1,21.0
Correct one corrupted share,16,4,7,6,1,Success,True,True,True,,0.01720000000204891,0.2094000083161518,1,21.0
Correct one corrupted share,17,4,7,6,1,Success,True,True,True,,0.016299993149004877,0.2069000038318336,1,21.0
Correct one corrupted share,18,4,7,6,1,Success,True,True,True,,0.016399993910454214,0.21389999892562628,1,21.0
Correct one corrupted share,19,4,7,6,1,Success,True,True,True,,0.01619999238755554,0.2018000086536631,1,21.0
Correct one corrupted share,20,4,7,6,1,Success,True,True,True,,0.016599995433352888,0.20450000010896474,1,21.0
Correct one corrupted share,21,4,7,6,1,Success,True,True,True,,0.016599995433352888,0.2023999986704439,1,21.0
Correct one corrupted share,22,4,7,6,1,Success,True,True,True,,0.016599995433352888,0.3836999967461452,1,21.0
Correct one corrupted share,23,4,7,6,1,Success,True,True,True,,0.0425000034738332,0.2863000117940828,1,21.0
Correct one corrupted share,24,4,7,6,1,Success,True,True,True,,0.02370000584051013,0.2804000105243176,1,21.0
Correct one corrupted share,25,4,7,6,1,Success,True,True,True,,0.0219999928958714,0.2384999970672652,1,21.0
Correct two corrupted shares,1,4,8,8,2,Success,True,True,True,,0.019400002202019095,0.4222999996272847,2,24.0
Correct two corrupted shares,2,4,8,8,2,Success,True,True,True,,0.018800012185238302,0.37230001180432737,2,24.0
Correct two corrupted shares,3,4,8,8,2,Success,True,True,True,,0.018400009139440954,0.3687999997055158,2,24.0
Correct two corrupted shares,4,4,8,8,2,Success,True,True,True,,0.018000006093643606,0.4048999981023371,2,24.0
Correct two corrupted shares,5,4,8,8,2,Success,True,True,True,,0.01819999306462705,0.378400000045076,2,24.0
Correct two corrupted shares,6,4,8,8,2,Success,True,True,True,,0.019500002963468432,0.3963999915868044,2,24.0
Correct two corrupted shares,7,4,8,8,2,Success,True,True,True,,0.01790000533219427,0.4005999944638461,2,24.0
